1549,438,1549,586,WALL
1549,586,1559,691,WALL
67,994,62,1265,WALL
1639,1246,1620,1081,WALL
2238,784,2237,629,WALL
1681,736,1679,673,WALL
1719,655,1694,444,WALL
2235,415,2234,0,WALL
1219,2,1217,121,WALL
1231,119,1188,296,WALL
1542,179,1515,91,WALL
1515,91,1508,2,WALL
1380,393,1430,393,FLOOR
1520,755,1670,841,SEMISOLIDFLOOR
104,419,334,477,DOWNWARDSLOPE
544,456,604,489,DOWNWARDSLOPE
1252,393,1336,397,DOWNWARDSLOPE
1430,393,1509,410,DOWNWARDSLOPE
1509,410,1549,438,DOWNWARDSLOPE
62,1265,328,1323,DOWNWARDSLOPE
511,1313,682,1350,DOWNWARDSLOPE
764,1340,824,1341,DOWNWARDSLOPE
1176,1230,1248,1233,DOWNWARDSLOPE
1248,1233,1317,1235,DOWNWARDSLOPE
1317,1235,1391,1254,DOWNWARDSLOPE
1449,1240,1500,1255,DOWNWARDSLOPE
1545,1248,1614,1256,DOWNWARDSLOPE
1683,826,1795,830,DOWNWARDSLOPE
1972,778,2057,796,DOWNWARDSLOPE
1771,418,1929,457,DOWNWARDSLOPE
0,421,104,419,UPWARDSLOPE
334,477,442,476,UPWARDSLOPE
442,476,544,456,UPWARDSLOPE
604,489,790,487,UPWARDSLOPE
790,487,833,486,UPWARDSLOPE
833,486,973,466,UPWARDSLOPE
973,466,1064,463,UPWARDSLOPE
1064,463,1182,405,UPWARDSLOPE
1182,405,1252,393,UPWARDSLOPE
1336,397,1380,393,UPWARDSLOPE
328,1323,511,1313,UPWARDSLOPE
682,1350,764,1340,UPWARDSLOPE
824,1341,961,1298,UPWARDSLOPE
961,1298,1067,1296,UPWARDSLOPE
1067,1296,1176,1230,UPWARDSLOPE
1391,1254,1449,1240,UPWARDSLOPE
1500,1255,1545,1248,UPWARDSLOPE
1614,1256,1639,1246,UPWARDSLOPE
1497,961,1586,927,UPWARDSLOPE
1586,927,1636,893,UPWARDSLOPE
1636,893,1683,826,UPWARDSLOPE
1795,830,1912,794,UPWARDSLOPE
1912,794,1972,778,UPWARDSLOPE
2057,796,2180,785,UPWARDSLOPE
2180,785,2238,784,UPWARDSLOPE
1679,673,1704,670,UPWARDSLOPE
1704,670,1719,655,UPWARDSLOPE
1694,444,1741,426,UPWARDSLOPE
1741,426,1771,418,UPWARDSLOPE
1929,457,2235,415,UPWARDSLOPE
1559,691,1528,681,CEILING
1528,681,1531,732,CEILING
1531,732,1465,866,CEILING
1465,866,1419,866,CEILING
1419,866,1382,943,CEILING
1382,943,1352,999,CEILING
1352,999,1272,983,CEILING
1272,983,1242,994,CEILING
1242,994,1182,943,CEILING
1182,943,1106,894,CEILING
112,882,67,994,CEILING
1620,1081,1568,1074,CEILING
1568,1074,1552,1051,CEILING
1552,1051,1526,1030,CEILING
1526,1030,1520,996,CEILING
1520,996,1497,961,CEILING
2237,629,2207,619,CEILING
2207,619,2171,593,CEILING
2171,593,2145,619,CEILING
2145,619,2080,616,CEILING
2080,616,2071,620,CEILING
2071,620,2028,616,CEILING
2028,616,2012,626,CEILING
2012,626,1947,610,CEILING
1947,610,1927,624,CEILING
1927,624,1901,622,CEILING
1901,622,1874,608,CEILING
1874,608,1863,621,CEILING
1863,621,1847,616,CEILING
1847,616,1867,672,CEILING
1867,672,1846,680,CEILING
1846,680,1822,646,CEILING
1822,646,1827,679,CEILING
1827,679,1798,668,CEILING
1798,668,1788,701,CEILING
1788,701,1761,742,CEILING
1761,742,1733,755,CEILING
1733,755,1704,738,CEILING
1704,738,1681,736,CEILING
1217,121,1231,119,CEILING
1188,296,1235,217,CEILING
1235,217,1287,221,CEILING
1287,221,1302,260,CEILING
1302,260,1331,241,CEILING
1331,241,1359,255,CEILING
1359,255,1366,243,CEILING
1366,243,1389,254,CEILING
1389,254,1399,252,CEILING
1399,252,1410,263,CEILING
1410,263,1427,253,CEILING
1427,253,1439,270,CEILING
1439,270,1455,203,CEILING
1455,203,1475,245,CEILING
1475,245,1496,197,CEILING
1496,197,1514,236,CEILING
1514,236,1542,179,CEILING
